name,address,icon,userComment,rating,tags,photos
"Fish And Chips","1–27 Rue Maréchal Joffre 14117 Arromanches-les-Bains France","generic","Très bon fish and chips ","5","À essayer",""
"La Cordonnerie","142 Rue Saint-Denis, 75002 Paris, France","bar","Bar sympa avec cocktails pas très chers ","","Bar#Authentique#Cocktails",""
"Pupetta","124 Rue St Denis, 75002 Paris, France","restaurant","Bon resto italien à Strasbourg sT Denis avec bonnes pizzas","","Pizza#Restaurant#Italien#Cocktails",""
"Rosé Piscine","174 Quai André Citröen, 75015 Paris, France","generic","Petite guinguette classique dans le 15","4","Ambiance#Amis",""
"Crêperie du Roy","9 Boulevard Féart, 35800 Dinard, France","shopping","Bonne crêperie typique avec décors typiques bretons mais un peu bruyant ","","À essayer#Authentique#Crepes",""
"Bar des Vedettes","11 Rue du Quai, 22100 Dinan, France","bar","Bar ambiance à dinard ! Cocktails très sympas et bonnes vibes  ! ","","À essayer#Ambiance#Bar",""
"Le Comptoir BREIZH Café","6 Rue Orme, 35400 Saint-Malo, France","shopping","Très bonne crêperie avec produits locaux dans les remparts ","","À essayer#Authentique#Restaurant#Cadre sympa",""
"Maison Moreau Boulangerie Patisserie","36 Rue Levavasseur, 35800 Dinard, France","restaurant","Très bonne boulangerie ","","Boulangerie",""
"Le Sunset Bar","Prom. des Alliés, Dinard, France","bar","Bar à cocktail vue sur mer ! Très sympa et animé ! Une guinguette vue sur la plage et la jetée on adore ","","À essayer#Ambiance#Amis#Bar#Cadre sympa#Cocktails#Carpe diem",""
"Le Café Rouge","3 Boulevard Féart, 35800 Dinard, France","cafe","Très bon restaurant de fruits de mer et crustacés ! Recommandé au michelin","","À essayer#Amis#Ambiance#Cadre sympa#Restaurant#Vue panoramique#Vue mer#Fruits de mer#Poisson",""
"Moustache","2 Bis Rue du Maréchal Leclerc, 35800 Dinard, France","generic","Très bon bon glacier artisanal ","","Glace",""
"Kantyna","Politických vězňů 1511/5 110 00 Prague République tchèque","generic","Cantine tchèque très typique et locale ! Une boucherie qui a transformé ça en cafétéria géante ! Recommande ","","Authentique#Restaurant#Viandes",""
"Green Tomato","Jindřišská 938/18, 110 00 Praha, République tchèque","restaurant","Très bon italien ","","Amis#Pizza#Restaurant#Italien",""
"Questenberk Hotel","Úvoz 155/15, 110 00 Praha 1 - Hradčany-Praha 1, Tchéquie","lodging","Sur les hauteurs de prague : n’hésitez pas à boire un verre sur leur terrasse avec vue imprenable sur prague ! Magnifique vue ","","Vue panoramique#Cadre sympa#Bar",""
"Ippa Cafe","Jiřská 7/6 119 00 Prague République tchèque","generic","Très beau cadre au sein du château du prague avec des desserts aussi beaux que bons ! Un délice ","","Cafe#Restaurant",""
"Cafe Purkynē","Sokolská 490/31 120 00 Prague République tchèque","generic","Véritable café locale ouvert que le matin ! ","","Cafe#Authentique",""
"Restaurace Kravín","Náměstí Míru 109/18, 120 00 Praha 2, République tchèque","restaurant","Très belle vue sur l église ! Plats typiques et/ ou internationaux avec une ambiance locale ! Resto avec peu de touristes que des locaux ","","À essayer#Cadre sympa",""
"V Kolkovně 910/8","V Kolkovně 910/8, Staré Město, 110 00 Praha-Praha 1, Tchéquie","geocode","Très bonne brasserie typique dans le quartier juif ! On recommande ","","À essayer#Amis#Authentique#Specialites locales#Viandes",""
"Le Bard'o","26 Quai Lunel 06300 Nizza France","generic","Très bon resto de fruit de mer avec belle vue ","","À essayer#Cadre sympa",""
"Boston Bar","place de 06300, 11 Place de l'Île de Beauté, 06300 Nice, France","bar","","","À essayer#Ambiance#Amis#Bar",""
"La Dinette","3 Rue Corneille, 37000 Tours, France","restaurant","Excellent resto de quartier du theatre","3","À essayer#Excellent",""
"Santa Chiara - Banco E Cucina","Via Santa Margherita 09124 Cagliari Italy","generic","Excellent risotto au safran! Une mama italienne qui cuisin’e devant nous  ","","Cadre sympa",""
"Sa Domu Sarda","Via Sassari, 51, 09124 Cagliari, Italie","restaurant","Très bon italien : de vrai spécialités sardes ","4","Ambiance#Authentique#Pizza",""
"Dulcis Pasticceria | Cagliari","Via Sidney Sonnino, 71, 09125 Cagliari CA, Italy","restaurant","Très bon salon de thé typique ","","Specialites locales#Salon de the",""
"Les Amis Des Messina","204 Rue du Faubourg Saint-Antoine, 75012 Paris, France","restaurant","","2.5","Amis#Cadre sympa#Italien",""
"Marcelle - Débit de Boissons","Place du Samedi 15, 1000 Bruxelles, Belgique","bar","Très bon cocktails et jolie terrasse ! ","","À essayer#Ambiance#Amis#Bar#Cocktails#Carpe diem",""
"Chez Maman","Rue des Grands Carmes 7, 1000 Bruxelles, Belgique","bar","Très bon cocktails, terrasse très agréable ! On recommande  ","","À essayer#Ambiance#Amis#Bar#Cocktails",""
"KFK Hope","Rue des Poissonniers 21, 1000 Bruxelles, Belgique","bar","Bar dansant très cool ","","À essayer#Bar",""
"Vertigo","Rue de Rollebeek 7, 1000 Bruxelles, Belgique","restaurant","Très beau cadre et authentique ! Très hype à faire ! ","3","À essayer#Ambiance#Amis#Cadre sympa#Cocktails#Excellent",""
"Traiteur Grec","43 Rue de l'Ancienne Mairie Boulogne-Billancourt 92100","generic","Traiteur grecque ! Très bon ","3","À essayer#Greek",""
"New Osaka","37 Rue Montmartre, 75002 Paris, France","restaurant","Buffet à volonté à sentier ","","À essayer#Authentique",""
"Pâtisserie Méert","25-27 Rue Esquermoise, 59000 Lille, France","restaurant","Gaufres typiques à essayer ","","Gouter",""
"Grand Scène","31 Rue de Béthune 59800 Lille France","restaurant","Très bien : street food ","","À essayer#Ambiance#Amis#Food truck",""
"Immersion Vendôme","23 Rue Danielle Casanova, Paris 75001","restaurant","Brunch au top","","À essayer#Ambiance#Brunch",""
"La Chamade","3 Rue de Birague, 75004 Paris, France","restaurant","Cocktails pas chers (5/6 euros) dans le marais ! On valide ! ","","À essayer#Amis#Bar#Cocktails",""
"La Table Libanaise - Restaurant et traiteur Libanais à PARIS 15","25 Rue Oscar Roty, 75015 Paris, France","restaurant","Bon libanais","","À essayer#Amis#Authentique",""
"Chez Mamie","10 Place de la Trinité 31000 Toulouse France","restaurant","Le « chez tonton » des 25-30 ans ! Très sympathique sur une belle place ","","À essayer#Ambiance#Authentique",""
"Prima Lova","1 Place de la Bourse, 31000 Toulouse, France","restaurant","Italien abordable mais pates à la truffe sans plus ","3.5","Ambiance#Pates àla truffe#Pizza#Italien",""
"The London Town","14 Rue des Prêtres, 31000 Toulouse, France","bar","","","Amis#Authentique#Bar",""
"Sunside Café","3 Pl. des Carmes, 31000 Toulouse, France","restaurant","Brunch ","","Ambiance#Amis",""
"Chez Marco","30 Rue de Périgord, 31000 Toulouse, France","restaurant","Restau à viandes : excellent ","5","À essayer#Amis#Authentique#Wine#Viandes#Restaurant",""
"Central PARK","5 Rue du Jour, 75001 Paris, France","bar","Très cool ","","À essayer#Ambiance#Amis#Bar#Cocktails",""
"Bouillon Chartier","59 Bd du Montparnasse, 75006 Paris, France","restaurant","","","À essayer#Bouillon",""
"Giorgio - Gruppo Dalmata","21 Rue de Charonne, Paris 75011","restaurant","","","À essayer#Cadre sympa#Cocktails#Pizza#Pates àla truffe#Italien",""
"Café de la presse","36 Boulevard de la Bastille, 75012 Paris, France","restaurant","","","Ambiance#À essayer#Amis#Bar",""
"Comptoir Moderne","26 Rue de la Croix Nivert, 75015 Paris, France","restaurant","HH 16-21h","","Amis#Bar#Cocktails#Happy hour",""
"Le Pavillion Augustine","Quai Albert 1er, 14360 Trouville-sur-Mer, France","restaurant","Vue sur le bord de mer, très agréable et calme ! Très bon plats.  ","","À essayer#Amis#Cadre sympa#Carpe diem#Vue mer#Poisson#Moules",""
"L’epicerie Bouillon Pharamond","28 Rue Pierre Lescot, 75001 Paris","generic","Nouveauté du bouillon pharamond ! Bar à vin où il est possible de déguster des fruits de mer: idéal pour patienter avant que notre table au bouillon soit prête ! Joli décor ! On recommande ! ","","À essayer#Ambiance#Amis#Bar#Bar à vin#Authentique#Wine",""
"La Felicità","5 Parvis Alan Turing, Paris 75013","restaurant","","","Cadre sympa#À essayer#Ambiance#Amis#Bar#Italien#Pizza#Pates àla truffe#Street food",""
"Le Bruit Qui Court","69ter Rue Damrémont Paris 75018","restaurant","Tres bon brunch","","Brunch#À essayer",""
"Café Oz Châtelet","18 Rue Saint-Denis, 75001 Paris, France","bar","Bar dansant australien très sympa! Bonne ambiance ","","À essayer#Ambiance#Amis#Bar#Carpe diem",""
"Le Loir dans La Théière","3 Rue des Rosiers, 75004 Paris, France","cafe","Salon de thé très sympa ! Mais temps d attente ","","Salon de the#À essayer#Ambiance#Amis#Gateaux#Cafe",""
"PUB St GERMAIN","17 Rue de l'Ancienne Comédie, Paris 75006","bar","Petit billard, très spacieux ! On valide ","2.5","À essayer#Ambiance#Amis#Bar#Cadre sympa#Happy hour",""
"Yoom","5 Rue Grégoire de Tours, 75006 Paris, France","restaurant","Cuisine asiatique : service rapide et cadre agréable ","","À essayer",""
"Cin-cin","9 Boulevard Poissonnière, 75009 Paris, France","restaurant","Petit happy hour de 17 h à 23h","","Amis#Bar#Cadre sympa#Cocktails",""
"Le Bidule","2 Rue Faidherbe, 75011 Paris, France","bar","Bar très cool avec happy hour ! Petite surprise de happy end : shooter d’au revoir .. 🕺🏻","","À essayer#Ambiance#Amis#Bar#Cocktails",""
"Petit Bao","116 rue Saint-Denis, Paris 75002","restaurant","Très bon baos ","","À essayer",""
"Paxton'head","264 Rue de Bourgogne, 45000 Orléans, France","bar","Décor très IRISH bar et très atypique : soirée billard ++","","Ambiance#Bar",""
"Restaurant Mamma Mia","32 Avenue Jean Baptiste Clement, 92100 Boulogne-Billancourt, France","restaurant","Très bon italien : ambiance sympa, très bon plat maison ! Très belle déco ! Je recommande ++","","À essayer#Ambiance#Cocktails#Italien#Pates àla truffe#Restaurant",""
"Papilla","9 Rue Soufflot 75005 Paris France","generic","Petit italien très cosy très sympa : vue sur le panthéon ✨","1.5","À essayer#Pizza#Pates àla truffe#Cocktails",""
"le Marronnier","18 Route de Saverne 67370 Stutzheim-Offenheim France","restaurant","Très typique avec toutes les spécialités dans une ambiance taverne très locale ! On adore ","","Restaurant#Specialites locales#À essayer",""
"Le Public House","14 Rue Paul Janet, 67000 Strasbourg, France","restaurant","Ambiance au top et très bon cocktail ","","Ambiance#Bar#Amis",""
"Restaurant Au Pigeon","23 Rue des Tonneliers, 67000 Strasbourg, France","restaurant","Taverne très typique ! Je recommande pour les spécialités locales ","","Specialites locales#À essayer",""
"Lolo cave à manger","12 Rue de Châteaudun, 75009 Paris, France","restaurant","Bar à vin : très cocooning et ambiance garantie ! A essayer si on est à 3/4 personnes ! Pas adapté au groupe ! Tapas délicieux ","","À essayer#Ambiance#Amis#Bar#Wine",""
"Daroco 16","3 Place Clément Ader, Paris 75016","restaurant","Super adresse très cosy ","","Restaurant#Cocktails#Italien",""
"Hoegaarden Café","52 Route de Narbonne, 31400 Toulouse, France","restaurant","Bar sympa et accueil de qualité par le patron! Pratique si on est à la fac de pharma à côté sinon peu d’intérêt de se déplacer pour y aller volontairement ","","Bar#Happy hour",""
"Chez Tonton","16 Place Saint-Pierre, 31000 Toulouse, France","bar","Passage obligé pour tout visiter de la village rose ! Ambiance garantie ","","À essayer#Ambiance#Bar#Amis",""
"La Reverie ✨","15 Rue de la Roquette, 75011 Paris","generic","Endroit très sympa et très bon cocktails ! Happy hour ","","À essayer#Ambiance#Bar#Cocktails",""
"FRITERIE ANTOINE","Avenue Le Marinel 138B, 1040 Etterbeek, Belgique","generic","Excellentes frites : spécialité locale ","","Specialites locales",""
"Rooster's","Rue Grétry 79, 1000 Bruxelles, Belgique","bar","Bar / boîte cool mais les toilettes payantes ","","À essayer#Ambiance#Amis#Bar",""
"NONA","Rue Sainte-Catherine 17-19, 1000 Bruxelles, Belgique","restaurant","Excellentes pizzas et cocktails ! Je Recommande ++ ","","Italien#Cocktails#Cadre sympa#Restaurant",""
"Mokafé Taverne","Galerie du Roi 9, 1000 Bruxelles, Belgique","restaurant","Gaufres à tester ","","À essayer#Cadre sympa",""
"Grizzly","Parvis de la Trinité 10, 1050 Ixelles, Belgique","restaurant","Très bon brunch et très joli cadre ","","À essayer#Amis#Brunch",""
"Brussels Beer Project","Rue Antoine Dansaert 188, 1000 Bruxelles, Belgique","restaurant","Déco incroyable, très bonne ambiance et très sympa avec des bières artisanales ! A essayer ","","Ambiance#À essayer#Amis",""
"C'est Bon C'est Belge","14, Rue de Bon Secours 14, 1000 Bruxelles, Belgique","restaurant","Cuisine locale et pas chère ","","Restaurant",""
"Cafe Bar Chez Teresa","Chaussée de Boondael 327 1050 Ixelles Belgium","generic","","","À essayer#Ambiance#Bar",""
"Le Jardin de Nicolas","Avenue de Tervueren 137, 1150 Woluwe-Saint-Pierre, Belgique","restaurant","Vraiment top ","2.5","À essayer",""
"Atelier du Marché","4 Rue Saussier-Leroy, 75017 Paris, France","restaurant","Très bon resto avec des produits de qualité et personnel très sympathique et accueillant ! Recommandé ++ ","","Ambiance#Cadre sympa#Restaurant#Viandes#Carpe diem",""
"Chope-moi","32 Boulevard de Clichy, 75018 Paris","generic","Très bon cocktail gin à la pêche/ grenadine ! ","","Ambiance#Amis#À essayer#Happy hour#Sans reservation",""
"Seguin Sound","1, Parvis de l'Île Seguin, 92100, 92100 Boulogne-Billancourt, France","restaurant","","","Happy hour#Amis#Bar",""
"Presto Fresco","14 rue Montmartre, Paris 75001","restaurant","Tres joli deco ! Pates maison et copieux ! A 2 pas de chatelet ( cote st eustache) ","4","Italien#Restaurant#À essayer#Ambiance#Cadre sympa#Fancy",""
"Il Gattopardo","22 Rue Paul Bert, 92100 Boulogne-Billancourt, France","restaurant","Bon italien ! ","","À essayer#Restaurant#Italien",""
"La Citadelle des Grands Boulevards","24 Bd des Italiens, 75009 Paris, France","restaurant","Bon gin to! Petit tips: commander au bar et aller du côté « afterwork » ( à droite) pour avoir des prix pas chers a contrario de la terrasse assise. ","","Cocktails#Amis#Bar",""
"Chez Paolo","21 Rue Pierre Fontaine, 75009 Paris, France","restaurant","Très bon italien près de Pigalle et pas cher ! Serveur très sympathique ( petit digestif offert et verre de rosé aussi) ! Grande salle au sous-sol : parfait pour AW ou hiver/pluie","","Amis#Italien#Parfait pour l’hiver ou pluie#Pizza#Pas cher#Restaurant",""
"Le Cafe des Marroniers","59 Rue de Tocqueville 75017 Paris France","fastfood","Happy hour de 16-22h avec cocktails à 5 euros ! Gin to très appreciable pour ce Prix ! ","","Gin to pas cher#Ambiance#Amis#Bar#Happy hour",""
"Palatino","22 Boulevard des Batignolles, 75017 Paris, France","restaurant","Très bonnes pizzas et pas chères! Ambiance Très conviviale ","","Pizza#Ambiance#Amis#Pizza pas chere et top",""
"Les Ecuries","8 Rue Bachaumont, 75002 Paris, France","bar","","","À essayer#Ambiance#Bar#Parfait pour l’hiver ou pluie",""
"IT Trattoria Clichy","104 Boulevard de Clichy, 75018 Paris, France","restaurant","Pizza basique à 5 euros 90 ! Vraiment top pour une soirée bar et petite faim ","","Pizza",""
"Le Parigi","30 Rue de la Grande Truanderie, 75001 Paris, France","restaurant","","","Gin to pas cher#À essayer#Amis",""
"Le Petit Bouillon Pharamond","24 Rue de la Grande Truanderie, 75001 Paris, France","restaurant","","","Pas cher#Restaurant",""
"Le Cappucino","14 Rue du Grand Marché, 37000 Tours, France","restaurant","","","Pates àla truffe#Restaurant#Cadre sympa#Italien",""
"Le KAA","18 Rue de la Paix, 37000 Tours, France","bar","","","Gin to pas cher#Amis#Bar",""
"GUSTO","10 Rue de la Rôtisserie, 37000 Tours, France","restaurant","","","Italien#À essayer#Restaurant",""
"L'Embellie","21 Rue de la Monnaie, 37000 Tours, France","restaurant","","","À essayer#Restaurant",""
"Gueuleton Reims","1 Place Martyrs de la Résistance, 51100 Reims, France","restaurant","","","Tres bon gin to#Restaurant#Cadre sympa#Viandes",""
"The Glue Pot","Place Drouet d'Erlon France","bar","","","Viandes#Ambiance#Amis#Bar#Restaurant",""
"Royal Champagne Hotel & Spa","9 Rue de la République - Hameau de, Rue de Bellevue, 51160 Champillon, France","lodging","Rooftop sur toute la champagne ardennes avec superbes cocktails ! ","","Cocktails#Cadre sympa#Rooftop",""
"Au Bureau Reims Cathédrale","9 Place du Cardinal Luçon, Reims 51100","cafe","Superbe vue sur la cathédrale pour boire des gin to🕺🏻","","Cadre sympa",""
"PERCHINGBAR","faux de Verzy, 51380 Verzy, France","bar","","","À essayer#Cadre sympa#Champagne bar#Bar",""
"Guinguette La Javelle","De l'autre côte du Boulevard, 20 Bd Poniatowski, 75012 Paris, France","bar","","","À essayer#Ambiance#Bar#Cadre sympa#Guinguette",""
"Chez Bouboule","46 Rue d'Argout, 75002 Paris, France","bar","","","Ambiance#Gin to pas cher#Amis#Bar",""
"Tonton Des Dames","94 Rue Des Dames Paris 75017","restaurant","Bar à viandes ","","Restaurant#Amis#Viandes#À essayer",""
"CHOPE - MOI Republique","30 Bd du Temple Paris 75011","bar","","","Gin to pas cher#Ambiance#Amis#À essayer",""
"Ground Control","81 Rue du Charolais, 75012 Paris, France","bar","","2.5","Ambiance#Street food#Cocktail pas bon#Amis",""
"Asphalte Bar","115 Boulevard de Grenelle 75015 Paris France","generic","","","Gin to pas cher#Bar",""
"BigLove","30 Rue Debelleyme, Paris 75003","restaurant","","","Pates àla truffe#Restaurant#Amis#Ambiance",""
"Libertino","44 Rue de Paradis, Paris 75010","restaurant","","","Amis#Restaurant#Pates àla truffe#Ambiance",""
